,Unnamed: 0,country,year,Life Ladder,Log GDP per capita,Social support,Healthy life expectancy at birth,Freedom to make life choices,Generosity,Perceptions of corruption,Positive affect,Negative affect,Confidence in national government,Democratic Quality,Delivery Quality,Standard deviation of ladder by country-year,Standard deviation/Mean of ladder by country-year,GINI index (World Bank estimate),"GINI index (World Bank estimate), average 2000-15","gini of household income reported in Gallup, by wp5-year",CPI,Crime Index,Safety Index,GDP,Happiness Rank,Happiness Score,Standard Error,Lower Confidence Interval,Upper Confidence Interval,Economy (GDP per Capita),Family,Health (Life Expectancy),Freedom,Trust (Government Corruption),Dystopia Residual,underFiveMortality,Life expectancy at birth (years),Life expectancy at age 60 (years)
425,425,El Salvador,2015,6.018496037,8.967651367,0.7907553909999999,63.87771225,0.7333559390000001,0.10692,0.80454427,0.825733781,0.332646847,0.306591809,0.067686766,-0.261976242,2.579119205,0.428532183,0.408,0.4611875,0.46023795,39.0,69.44,30.56,26.052,42,6.13,0.05618,,,0.76454,1.02507,0.67737,0.4035,0.11776,3.035,15.5,73.5,21.9
436,436,Estonia,2015,5.628908634,10.22374249,0.917929649,67.11460114,0.8146923779999999,0.0868,0.5687344670000001,0.72333771,0.182694778,0.3366898,0.90385133,1.3406986,1.893060207,0.336310357,,0.333,0.405378938,70.0,28.13,71.87,22.578000000000003,73,5.4289999999999985,0.04013,,,1.15174,1.22791,0.77361,0.44888,0.15184,1.58782,3.1,77.6,22.0
442,442,Ethiopia,2015,4.573154926,7.335052012999999,0.625596821,55.86650085,0.8026425840000001,0.24325,0.56702733,0.713888168,0.236629039,0.8263413909999999,-1.398237824,-0.659261823,1.865662098,0.407959521,,0.315,0.543033361,33.0,35.07,64.93,64.683,122,4.512,0.0378,,,0.19073,0.60406,0.44055,0.4345,0.15048,2.44876,61.3,64.8,17.8
452,452,Finland,2015,7.447925568,10.56838703,0.947800577,71.33779144,0.929861903,0.23351,0.223369658,0.75131619,0.191057593,0.55760026,1.29203546,1.997026682,1.5736182930000002,0.21128276,,0.275909091,0.45906952,90.0,29.55,70.45,232.582,6,7.4060000000000015,0.0314,,,1.29025,1.31826,0.8891100000000001,0.64169,0.41372,2.61955,2.4,81.1,24.1
464,464,France,2015,6.357625007999999,10.53915787,0.895719409,72.58893585,0.8170362109999999,0.12332,0.640602052,0.785965919,0.215400279,0.32825270300000003,0.6566323039999999,1.321429491,1.847275615,0.290560633,,0.3203,0.329389542,70.0,49.71,50.29,2434.7870000000003,29,6.575,0.03512,,,1.27778,1.2603799999999998,0.94579,0.55011,0.20646,2.21126,3.9,82.4,25.7
471,471,Gabon,2015,4.66101265,9.731310844,0.755861998,56.30092621,0.671300709,0.06822,0.86677748,0.626362026,0.371656328,0.370059073,-0.436461389,-0.6987028120000001,2.07825613,0.44588083,,0.422,0.496452868,34.0,0.0,0.0,14.385,143,3.896,0.04547,,,1.06024,0.90528,0.43372,0.31914000000000003,0.11091,0.99895,50.6,66.0,18.2
483,483,Georgia,2015,4.1219406130000005,9.107768059,0.517371595,64.09186554,0.639944971,0.055470000000000005,0.50241679,0.547279775,0.233192086,0.254327297,-0.095760062,0.56956923,2.048506737,0.496976286,0.385,0.4034375,0.404153734,52.0,22.01,77.99,13.995999999999999,130,4.297,0.04221,,,0.7419,0.38562,0.72926,0.40577,0.38331,1.59541,11.4,74.4,19.4
495,495,Germany,2015,7.037137508,10.69053364,0.925923228,71.07910156,0.889428854,0.28214,0.412168294,0.764539361,0.20270516,0.628003657,1.060863018,1.773268819,1.6488446,0.234306157,,0.311571429,0.390182853,81.0,28.49,71.51,3377.31,26,6.75,0.01848,,,1.32792,1.29937,0.89186,0.6147699999999999,0.21843,2.1156900000000003,3.9,81.0,23.7
507,507,Ghana,2015,3.985916138,8.276313782,0.687448561,54.35469818,0.8520161509999999,0.23087,0.94543612,0.689778268,0.265278548,0.441527426,0.23168543,-0.08456760599999999,2.15335536,0.540241003,,0.425,0.520709515,47.0,49.42,50.58,36.885,114,4.633,0.04742,,,0.5455800000000001,0.6795399999999999,0.40132,0.42342,0.04355,2.30919,61.0,62.4,15.9
518,518,Greece,2015,5.622519016,10.09288025,0.834824681,71.51523590000002,0.531736314,0.0,0.8239596490000001,0.73975122,0.277412534,0.437318921,0.210621193,0.214091524,2.20959115,0.392989546,,0.346909091,0.309100837,46.0,41.35,58.65,195.64,102,4.857,0.05062,,,1.15406,0.92933,0.88213,0.07699,0.013969999999999998,1.8010099999999998,3.8,81.0,24.0
530,530,Guatemala,2015,6.464986801,8.894631386,0.822837472,62.89811707,0.868639767,0.27489,0.821654916,0.8513708109999999,0.310553789,0.272380829,-0.5007262229999999,-0.651932836,2.944439888,0.455444068,,0.52675,0.5929263229999999,28.0,79.34,20.66,63.766999999999996,43,6.122999999999998,0.05224,,,0.74553,1.04356,0.64425,0.57733,0.09472,2.74255,29.5,71.9,21.1
537,537,Guinea,2015,3.504693508,7.4691200260000015,0.578859627,50.18187332,0.66595304,0.28657,0.7621520159999999,0.666970611,0.267741233,0.610287786,-0.622471929,-1.039524555,1.857013106,0.529864609,,0.387,0.490203828,25.0,0.0,0.0,8.763,150,3.656,0.0359,,,0.17417,0.46475,0.24009,0.37725,0.12139,1.99172,92.0,59.0,16.7
548,548,Haiti,2015,3.569762468,7.409274578,0.56431967,52.84775162,0.398295492,0.46187,0.7774039509999999,0.618564427,0.332539678,0.297118127,-0.734749496,-1.401228666,2.348097801,0.65777427,,0.409,0.6853326559999999,17.0,62.31,37.69,8.672,119,4.518,0.07331,,,0.26673,0.74302,0.38847,0.24425,0.17175,2.24173,68.9,63.5,17.6
560,560,Honduras,2015,4.845436573,8.368966103,0.7723755240000001,63.41588211,0.5340576770000001,0.23027,0.8480827209999999,0.8628365990000001,0.31076616,0.296962649,-0.445325613,-0.677448332,3.0675895210000004,0.63308835,0.501,0.5556,0.5998366479999999,31.0,74.91,25.09,20.98,105,4.788,0.05648,,,0.59532,0.95348,0.6951,0.40148,0.06825,1.84408,19.4,74.6,22.3
580,580,Hungary,2015,5.34438324,10.12800789,0.858733833,66.84565735,0.557721376,0.128,0.907530308,0.7068147659999999,0.244536385,0.279211909,0.653114259,0.4530572,1.878782034,0.351543278,,0.296818182,0.2937769,51.0,41.76,58.24,122.823,104,4.8,0.06107000000000001,,,1.12094,1.20215,0.75905,0.32112,0.02758,1.24074,5.4,75.8,20.3
586,586,Iceland,2015,7.498070717,10.66135502,0.980283201,72.75598145,0.94048512,0.4363,0.638661802,0.849020839,0.179504439,0.427228123,1.342286944,1.5931270119999998,1.687232494,0.225022212,,0.280090909,0.391596675,79.0,33.32,66.68,16.942,2,7.561,0.04884,,,1.30232,1.40223,0.94784,0.6287699999999999,0.14145,2.70201,2.2,82.7,24.7
598,598,India,2015,4.342079163,8.657661438,0.61013329,59.01452637,0.7772252559999999,0.26475,0.776434958,0.70067668,0.321829438,0.694716752,-0.26032930600000004,-0.17508184899999998,2.102304459,0.48416999,,0.35200000000000004,0.408865809,38.0,46.55,53.45,2102.3920000000003,117,4.565,0.02043,,,0.64499,0.38174,0.5152899999999999,0.39786,0.08492000000000001,2.27513,45.2,68.3,17.9
610,610,Indonesia,2015,5.04279995,9.246450423999999,0.8094781040000001,60.28725815,0.7794183490000001,0.51535,0.945967257,0.876232743,0.274292201,0.645185173,-0.215111747,-0.334635764,2.0675146580000003,0.40999338,,0.395,0.38479504,36.0,47.22,52.78,860.7410000000001,74,5.399,0.025960000000000004,,,0.8282700000000001,1.0870799999999998,0.63793,0.46611,0.0,1.86399,27.3,69.1,16.6
620,620,Iran,2015,4.749955654,9.711170197000001,0.572406888,65.50714111,0.780383229,0.38086,0.6989512440000001,0.644848764,0.519858181,0.753276825,-1.2196063999999998,-0.762112558,2.522233725,0.531001508,,0.4132,0.465095609,27.0,50.9,49.1,0.0,110,4.686,0.04449,,,1.0088,0.54447,0.69805,0.30033000000000004,0.05863,1.6944,0.0,0.0,0.0
630,630,Iraq,2015,4.493377209,9.611053467,0.6844348309999999,60.68158722,0.599459946,0.17922000000000002,0.762167156,0.490032554,0.58126694,0.435163736,-1.694117546,-1.317633867,3.019833565,0.672063231,,0.2905,0.6317837239999999,16.0,54.06,45.94,179.838,112,4.677,0.052320000000000005,,,0.98549,0.81889,0.60237,0.0,0.13788,1.95335,32.2,68.9,18.3
641,641,Ireland,2015,6.830125332000001,11.02099895,0.95294255,71.44041443,0.8922769429999999,0.45901,0.408756912,0.7993204,0.225349247,0.571841061,1.121519446,1.685622573,1.7716596130000002,0.259389043,,0.325545455,0.393113405,75.0,49.07,50.93,290.291,18,6.94,0.03676,,,1.33596,1.36948,0.89533,0.6177699999999999,0.28703,1.9757,3.7,81.4,24.1
653,653,Israel,2015,7.07941103,10.37425232,0.8641301990000001,72.04497528,0.7527839540000001,0.33172,0.7894299029999999,0.696547687,0.256258249,0.405343235,-0.17502349600000006,1.19148016,1.779918075,0.251421779,,0.411,0.29365477,61.0,30.4,69.6,299.094,11,7.278,0.0347,,,1.2285700000000002,1.22393,0.91387,0.41319,0.07785,3.08854,3.8,82.5,25.0
665,665,Italy,2015,5.847683907,10.44341278,0.908986509,73.43118286,0.5747657420000001,0.22823,0.912753046,0.6917721029999999,0.329209089,0.260625869,0.705309868,0.367061794,1.670852304,0.285728902,,0.34127272700000005,0.406529307,44.0,47.5,52.5,1833.7920000000001,50,5.948,0.03914,,,1.25114,1.19777,0.95446,0.26236,0.02901,2.02518,3.4,82.7,25.1
671,671,Ivory Coast,2015,4.445038795,8.083826065,0.703991652,46.06790924,0.7997455,0.20165,0.744249642,0.663881719,0.347228676,0.643835604,-0.618869841,-0.5620988610000001,2.208616495,0.496872276,0.417,0.4206666670000001,0.5274955029999999,0.0,0.0,0.0,0.0,151,3.655,0.05141,,,0.46534,0.77115,0.15185,0.46866,0.17922000000000002,1.41723,0.0,0.0,0.0
688,688,Japan,2015,5.879684448,10.540542599999998,0.922657192,74.86040497,0.8316941859999999,0.10705,0.654443085,0.7680906059999999,0.17640863399999998,0.35286721600000004,1.02655673,1.522612214,1.80760932,0.307433039,,0.321,0.443165004,75.0,20.24,79.76,4394.977,46,5.987,0.03581,,,1.27074,1.25712,0.99111,0.49615,0.1806,1.68435,3.0,83.7,26.1
